Item,Designator,Qty,Description / Value,Manufacturer Part Number / Package,,
1,"J1, J2, J3",3,2-Pin Terminal Block,1755736[cite: 5],,
2,T1,1,Step-Down Transformer,230VAC to 9VAC[cite: 5],,
3,D1,1,Bridge Rectifier,MB10S[cite: 5],,
4,C1,1,Electrolytic Capacitor (Polarized),470uF[cite: 5],,
5,"C2, C3, C4, C6",4,Ceramic Capacitor,0.1uF[cite: 5],,
6,C5,1,Electrolytic Capacitor (Polarized),1000uF[cite: 5],,
7,U1,1,5V Voltage Regulator,MC7805CD2TR4G[cite: 5],,
8,DS2,1,Infrared Transmitter LED,IR_TX1[cite: 5],,
9,DS3,1,Infrared Receiver LED,IR_RX1[cite: 5],,
10,R3,1,Resistor,100 ohms[cite: 5],,
11,R1,1,Resistor,330 ohms[cite: 5],,
12,"R4, R6",2,Resistor,1k ohms[cite: 5],,
13,R2,1,Trimmer Potentiometer,10k ohms[cite: 5],,
14,R5,1,Trimmer Potentiometer,3296W-1-105LF[cite: 5],,
15,U2,1,Dual Operational Amplifier,LM358DR2G[cite: 5],,
16,U3,1,CMOS Timer IC,LMC555CMMX[cite: 5],,
17,Q1,1,NPN Transistor,BC847CLTIG[cite: 5],,
18,D2,1,Switching Diode,1N4148WS-7-F[cite: 5],,
19,K1,1,Electromechanical Relay (5V),G5LE-1-E DC5 (Omron)[cite: 5],,
